Thorlabs Shack-Hartmann Wavefront Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model                  ,       WFS150-5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number          ,       M00278808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date MM-DD-YYYY        ,       03-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time HH:MM:SS          ,       12:17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** CAMERA ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera Type            ,       Thorlabs DCU224M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera SN              ,4102610379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution X           ,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution Y           ,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure Time [ms]     ,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Gain            ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averages               ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Type           ,       Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** BEAM ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Center X [mm]     ,-0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Center Y [mm]     ,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Diameter X [mm]   ,6.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Diameter Y [mm]   ,5.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** PUPIL ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular               ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Beam Centroid      ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Beam Dia           ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavefront Calc In Pupil,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil Diameter X [mm]  ,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil Diameter Y [mm]  ,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil Center X [mm]    ,-0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupil Center Y [mm]    ,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** ZERNIKE FIT ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zernike Orders Auto    ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zernike Orders         ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zernike Modes          ,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit                   ,       waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index  Order  Frequency  Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-1,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,-0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,-2,-0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0,-0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,-3,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,-1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,3,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,-4,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,-2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,0,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,4,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,-3,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,3,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,5,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,-6,-0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,-4,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,-2,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,2,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,4,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,6,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7,-7,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7,-5,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,-3,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7,-1,-0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7,1,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,5,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7,7,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8,-8,-0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,-6,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8,-2,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8,0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8,2,-0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8,4,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8,6,-0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,8,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9,-7,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9,-3,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9,-1,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9,1,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9,3,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9,5,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9,7,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,9,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,10,-10,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10,-6,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,10,-2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,10,0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10,2,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10,4,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10,6,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,10,8,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10,10,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit Error Mean [arcmin]  ,3.83E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit Error StdDev [arcmin],3.67E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** RMS WAVEFRONT VARIATIONS ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit                   ,       waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order  Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
